0,1,2,3,4,5
OCC_YEAR,OCC_HOUR,Location_Engineered_Other,Location_Engineered_Public,,
OCC_YEAR,OCC_HOUR,Location_Engineered_Other,Location_Engineered_Residential,,
OCC_YEAR,OCC_HOUR,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_YEAR,LONG_WGS84,LAT_WGS84,OCC_Month_Encoded,,
OCC_YEAR,LONG_WGS84,LAT_WGS84,OCC_DOW_Encoded,,
OCC_YEAR,LONG_WGS84,LAT_WGS84,Hood_158_Encoded,,
OCC_YEAR,LONG_WGS84,LAT_WGS84,Division_Encoded,,
OCC_YEAR,LONG_WGS84,LAT_WGS84,Location_Engineered_Other,,
OCC_YEAR,LONG_WGS84,LAT_WGS84,Location_Engineered_Public,,
OCC_YEAR,LONG_WGS84,LAT_WGS84,Location_Engineered_Residential,,
OCC_YEAR,LONG_WGS84,OCC_Month_Encoded,OCC_DOW_Encoded,,
OCC_YEAR,LONG_WGS84,OCC_Month_Encoded,Hood_158_Encoded,,
OCC_YEAR,LONG_WGS84,OCC_Month_Encoded,Division_Encoded,,
OCC_YEAR,LONG_WGS84,OCC_Month_Encoded,Location_Engineered_Other,,
OCC_YEAR,LONG_WGS84,OCC_Month_Encoded,Location_Engineered_Public,,
OCC_YEAR,LONG_WGS84,OCC_Month_Encoded,Location_Engineered_Residential,,
OCC_YEAR,LONG_WGS84,OCC_DOW_Encoded,Hood_158_Encoded,,
OCC_YEAR,LONG_WGS84,OCC_DOW_Encoded,Division_Encoded,,
OCC_YEAR,LONG_WGS84,OCC_DOW_Encoded,Location_Engineered_Other,,
OCC_YEAR,LONG_WGS84,OCC_DOW_Encoded,Location_Engineered_Public,,
OCC_YEAR,LONG_WGS84,OCC_DOW_Encoded,Location_Engineered_Residential,,
OCC_YEAR,LONG_WGS84,Hood_158_Encoded,Division_Encoded,,
OCC_YEAR,LONG_WGS84,Hood_158_Encoded,Location_Engineered_Other,,
OCC_YEAR,LONG_WGS84,Hood_158_Encoded,Location_Engineered_Public,,
OCC_YEAR,LONG_WGS84,Hood_158_Encoded,Location_Engineered_Residential,,
OCC_YEAR,LONG_WGS84,Division_Encoded,Location_Engineered_Other,,
OCC_YEAR,LONG_WGS84,Division_Encoded,Location_Engineered_Public,,
OCC_YEAR,LONG_WGS84,Division_Encoded,Location_Engineered_Residential,,
OCC_YEAR,LONG_WGS84,Location_Engineered_Other,Location_Engineered_Public,,
OCC_YEAR,LONG_WGS84,Location_Engineered_Other,Location_Engineered_Residential,,
OCC_YEAR,LONG_WGS84,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_YEAR,LAT_WGS84,OCC_Month_Encoded,OCC_DOW_Encoded,,
OCC_YEAR,LAT_WGS84,OCC_Month_Encoded,Hood_158_Encoded,,
OCC_YEAR,LAT_WGS84,OCC_Month_Encoded,Division_Encoded,,
OCC_YEAR,LAT_WGS84,OCC_Month_Encoded,Location_Engineered_Other,,
OCC_YEAR,LAT_WGS84,OCC_Month_Encoded,Location_Engineered_Public,,
OCC_YEAR,LAT_WGS84,OCC_Month_Encoded,Location_Engineered_Residential,,
OCC_YEAR,LAT_WGS84,OCC_DOW_Encoded,Hood_158_Encoded,,
OCC_YEAR,LAT_WGS84,OCC_DOW_Encoded,Division_Encoded,,
OCC_YEAR,LAT_WGS84,OCC_DOW_Encoded,Location_Engineered_Other,,
OCC_YEAR,LAT_WGS84,OCC_DOW_Encoded,Location_Engineered_Public,,
OCC_YEAR,LAT_WGS84,OCC_DOW_Encoded,Location_Engineered_Residential,,
OCC_YEAR,LAT_WGS84,Hood_158_Encoded,Division_Encoded,,
OCC_YEAR,LAT_WGS84,Hood_158_Encoded,Location_Engineered_Other,,
OCC_YEAR,LAT_WGS84,Hood_158_Encoded,Location_Engineered_Public,,
OCC_YEAR,LAT_WGS84,Hood_158_Encoded,Location_Engineered_Residential,,
OCC_YEAR,LAT_WGS84,Division_Encoded,Location_Engineered_Other,,
OCC_YEAR,LAT_WGS84,Division_Encoded,Location_Engineered_Public,,
OCC_YEAR,LAT_WGS84,Division_Encoded,Location_Engineered_Residential,,
OCC_YEAR,LAT_WGS84,Location_Engineered_Other,Location_Engineered_Public,,
OCC_YEAR,LAT_WGS84,Location_Engineered_Other,Location_Engineered_Residential,,
OCC_YEAR,LAT_WGS84,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_YEAR,OCC_Month_Encoded,OCC_DOW_Encoded,Hood_158_Encoded,,
OCC_YEAR,OCC_Month_Encoded,OCC_DOW_Encoded,Division_Encoded,,
OCC_YEAR,OCC_Month_Encoded,OCC_DOW_Encoded,Location_Engineered_Other,,
OCC_YEAR,OCC_Month_Encoded,OCC_DOW_Encoded,Location_Engineered_Public,,
OCC_YEAR,OCC_Month_Encoded,OCC_DOW_Encoded,Location_Engineered_Residential,,
OCC_YEAR,OCC_Month_Encoded,Hood_158_Encoded,Division_Encoded,,
OCC_YEAR,OCC_Month_Encoded,Hood_158_Encoded,Location_Engineered_Other,,
OCC_YEAR,OCC_Month_Encoded,Hood_158_Encoded,Location_Engineered_Public,,
OCC_YEAR,OCC_Month_Encoded,Hood_158_Encoded,Location_Engineered_Residential,,
OCC_YEAR,OCC_Month_Encoded,Division_Encoded,Location_Engineered_Other,,
OCC_YEAR,OCC_Month_Encoded,Division_Encoded,Location_Engineered_Public,,
OCC_YEAR,OCC_Month_Encoded,Division_Encoded,Location_Engineered_Residential,,
OCC_YEAR,OCC_Month_Encoded,Location_Engineered_Other,Location_Engineered_Public,,
OCC_YEAR,OCC_Month_Encoded,Location_Engineered_Other,Location_Engineered_Residential,,
OCC_YEAR,OCC_Month_Encoded,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_YEAR,OCC_DOW_Encoded,Hood_158_Encoded,Division_Encoded,,
OCC_YEAR,OCC_DOW_Encoded,Hood_158_Encoded,Location_Engineered_Other,,
OCC_YEAR,OCC_DOW_Encoded,Hood_158_Encoded,Location_Engineered_Public,,
OCC_YEAR,OCC_DOW_Encoded,Hood_158_Encoded,Location_Engineered_Residential,,
OCC_YEAR,OCC_DOW_Encoded,Division_Encoded,Location_Engineered_Other,,
OCC_YEAR,OCC_DOW_Encoded,Division_Encoded,Location_Engineered_Public,,
OCC_YEAR,OCC_DOW_Encoded,Division_Encoded,Location_Engineered_Residential,,
OCC_YEAR,OCC_DOW_Encoded,Location_Engineered_Other,Location_Engineered_Public,,
OCC_YEAR,OCC_DOW_Encoded,Location_Engineered_Other,Location_Engineered_Residential,,
OCC_YEAR,OCC_DOW_Encoded,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_YEAR,Hood_158_Encoded,Division_Encoded,Location_Engineered_Other,,
OCC_YEAR,Hood_158_Encoded,Division_Encoded,Location_Engineered_Public,,
OCC_YEAR,Hood_158_Encoded,Division_Encoded,Location_Engineered_Residential,,
OCC_YEAR,Hood_158_Encoded,Location_Engineered_Other,Location_Engineered_Public,,
OCC_YEAR,Hood_158_Encoded,Location_Engineered_Other,Location_Engineered_Residential,,
OCC_YEAR,Hood_158_Encoded,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_YEAR,Division_Encoded,Location_Engineered_Other,Location_Engineered_Public,,
OCC_YEAR,Division_Encoded,Location_Engineered_Other,Location_Engineered_Residential,,
OCC_YEAR,Division_Encoded,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_YEAR,Location_Engineered_Other,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_DOY,OCC_HOUR,LONG_WGS84,LAT_WGS84,,
OCC_DOY,OCC_HOUR,LONG_WGS84,OCC_Month_Encoded,,
OCC_DOY,OCC_HOUR,LONG_WGS84,OCC_DOW_Encoded,,
OCC_DOY,OCC_HOUR,LONG_WGS84,Hood_158_Encoded,,
OCC_DOY,OCC_HOUR,LONG_WGS84,Division_Encoded,,
OCC_DOY,OCC_HOUR,LONG_WGS84,Location_Engineered_Other,,
OCC_DOY,OCC_HOUR,LONG_WGS84,Location_Engineered_Public,,
OCC_DOY,OCC_HOUR,LONG_WGS84,Location_Engineered_Residential,,
OCC_DOY,OCC_HOUR,LAT_WGS84,OCC_Month_Encoded,,
OCC_DOY,OCC_HOUR,LAT_WGS84,OCC_DOW_Encoded,,
OCC_DOY,OCC_HOUR,LAT_WGS84,Hood_158_Encoded,,
OCC_DOY,OCC_HOUR,LAT_WGS84,Division_Encoded,,
OCC_DOY,OCC_HOUR,LAT_WGS84,Location_Engineered_Other,,
OCC_DOY,OCC_HOUR,LAT_WGS84,Location_Engineered_Public,,
OCC_DOY,OCC_HOUR,LAT_WGS84,Location_Engineered_Residential,,
OCC_DOY,OCC_HOUR,OCC_Month_Encoded,OCC_DOW_Encoded,,
OCC_DOY,OCC_HOUR,OCC_Month_Encoded,Hood_158_Encoded,,
OCC_DOY,OCC_HOUR,OCC_Month_Encoded,Division_Encoded,,
OCC_DOY,OCC_HOUR,OCC_Month_Encoded,Location_Engineered_Other,,
OCC_DOY,OCC_HOUR,OCC_Month_Encoded,Location_Engineered_Public,,
OCC_DOY,OCC_HOUR,OCC_Month_Encoded,Location_Engineered_Residential,,
OCC_DOY,OCC_HOUR,OCC_DOW_Encoded,Hood_158_Encoded,,
OCC_DOY,OCC_HOUR,OCC_DOW_Encoded,Division_Encoded,,
OCC_DOY,OCC_HOUR,OCC_DOW_Encoded,Location_Engineered_Other,,
OCC_DOY,OCC_HOUR,OCC_DOW_Encoded,Location_Engineered_Public,,
OCC_DOY,OCC_HOUR,OCC_DOW_Encoded,Location_Engineered_Residential,,
OCC_DOY,OCC_HOUR,Hood_158_Encoded,Division_Encoded,,
OCC_DOY,OCC_HOUR,Hood_158_Encoded,Location_Engineered_Other,,
OCC_DOY,OCC_HOUR,Hood_158_Encoded,Location_Engineered_Public,,
OCC_DOY,OCC_HOUR,Hood_158_Encoded,Location_Engineered_Residential,,
OCC_DOY,OCC_HOUR,Division_Encoded,Location_Engineered_Other,,
OCC_DOY,OCC_HOUR,Division_Encoded,Location_Engineered_Public,,
OCC_DOY,OCC_HOUR,Division_Encoded,Location_Engineered_Residential,,
OCC_DOY,OCC_HOUR,Location_Engineered_Other,Location_Engineered_Public,,
OCC_DOY,OCC_HOUR,Location_Engineered_Other,Location_Engineered_Residential,,
OCC_DOY,OCC_HOUR,Location_Engineered_Public,Location_Engineered_Residential,,
OCC_DOY,LONG_WGS84,LAT_WGS84,OCC_Month_Encoded,,
OCC_DOY,LONG_WGS84,LAT_WGS84,OCC_DOW_Encoded,,
OCC_DOY,LONG_WGS84,LAT_WGS84,Hood_158_Encoded,,
OCC_DOY,LONG_WGS84,LAT_WGS84,Division_Encoded,,
OCC_DOY,LONG_WGS84,LAT_WGS84,Location_Engineered_Other,,
OCC_DOY,LONG_WGS84,LAT_WGS84,Location_Engineered_Public,,
OCC_DOY,LONG_WGS84,LAT_WGS84,Location_Engineered_Residential,,
OCC_DOY,LONG_WGS84,OCC_Month_Encoded,OCC_DOW_Encoded,,
OCC_DOY,LONG_WGS84,OCC_Month_Encoded,Hood_158_Encoded,,
OCC_DOY,LONG_WGS84,OCC_Month_Encoded,Division_Encoded,,
OCC_DOY,LONG_WGS84,OCC_Month_Encoded,Location_Engineered_Other,,
OCC_DOY,LONG_WGS84,OCC_Month_Encoded,Location_Engineered_Public,,
OCC_DOY,LONG_WGS84,OCC_Month_Encoded,Location_Engineered_Residential,,
OCC_DOY,LONG_WGS84,OCC_DOW_Encoded,Hood_158_Encoded,,
OCC_DOY,LONG_WGS84,OCC_DOW_Encoded,Division_Encoded,,
OCC_DOY,LONG_WGS84,OCC_DOW_Encoded,Location_Engineered_Other,,
