Feature Set,Number of Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Feature_Names_String
4_Set_1,4,0.201889164,1.42500199,1332.650871,20.18891642,0.022203904,1.799990495,2.220390373,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'LONG_WGS84']"
4_Set_2,4,0.214112752,1.379566215,1429.874403,21.41127524,-0.012669873,2.26767424,0,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'LAT_WGS84']"
4_Set_3,4,0.296478796,1.284073886,2552.105371,29.64787963,-1,-1,0,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'OCC_Month_Encoded']"
4_Set_4,4,0.217014928,1.348277675,1443.284107,21.70149282,-0.256924226,1.56366138,0,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'OCC_DOW_Encoded']"
4_Set_5,4,0.281378128,1.18189413,2094.650414,28.13781276,0.380365893,1.584585945,38.03658926,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'Hood_158_Encoded']"
4_Set_6,4,0.207550745,1.398916481,1322.286616,20.75507446,0.006082647,2.130021089,0.608264681,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'Division_Encoded']"
4_Set_7,4,0.329123656,1.054003905,2527.846528,32.91236559,0.45456948,1.074460048,45.45694795,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'Location_Engineered_Other']"
4_Set_8,4,0.263361976,1.490104258,1520.102885,26.33619761,0.170691226,1.358926172,17.06912259,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'Location_Engineered_Public']"
4_Set_9,4,0.313292601,1.293685899,1787.867387,31.32926014,0.166913776,1.486514299,16.69137758,"['OCC_YEAR', 'OCC_DOY', 'OCC_HOUR', 'Location_Engineered_Residential']"
4_Set_10,4,0.235811152,1.279283962,1763.222787,23.58111523,0.024393779,1.377759735,2.439377867,"['OCC_YEAR', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84']"
